Time:                        Temperature (C):   Altitude (m):       Pressure (psi):     Velocity (kts):         Attitude (deg):      
2009:01:20:01:45:41:629		-169.98162	 	  	12677.22806	 		52.96179	 		52.05128	 	 	 	0.68830	 	 	 	
2009:01:20:01:45:41:879		-168.66116	 	  	13020.50248	 		53.13532*	 		116.61044	 	 	 	2.03967	 	 	 	
2009:01:20:01:45:42:129		-160.44902	 	  	14156.23806	 		53.30885	 		130.07751	 	 	 	2.13470	 	 	 	
2009:01:20:01:45:42:379		-160.25928	 	  	19827.38123	 		54.69433*	 		144.07190	 	 	 	2.33457	 	 	 	
2009:01:20:01:45:42:410		-101.96995	 	  	10143.50444	 		56.07981	 		215.42672	 	 	 	5.70597	 	 	 	
2009:01:20:01:45:42:629		-151.49951	 	  	20027.83554	 		54.16294	 		174.15901	 	 	 	2.69602	 	 	 	
2009:01:20:01:45:42:660		-97.41996	 	  	10151.13925	 		56.10541	 		221.04220	 	 	 	6.05868	 	 	 	
2009:01:20:01:45:42:879		-147.66248	 	  	22318.35619	 		56.12243*	 		182.43774	 	 	 	2.81960	 	 	 	
2009:01:20:01:45:42:910		-95.65905	 	  	15266.07654	 		56.13946	 		224.18686	 	 	 	6.45745	 	 	 	
2009:01:20:01:45:43:129		-144.41899	 	  	27950.98022	 		56.21901*	 		194.36360	 	 	 	3.22959	 	 	 	
2009:01:20:01:45:43:160		-79.74885	 	  	15521.86320	 		56.29856	 		242.49085	 	 	 	6.72843	 	 	 	
2009:01:20:01:45:43:379		-143.12357	 	  	31559.33027	 		56.53767*	 		212.12245	 	 	 	4.60125	 	 	 	
2009:01:20:01:45:43:410		-70.15093	 	  	18484.51848	 		56.77677	 		304.44129	 	 	 	7.21851	 	 	 	
2009:01:20:01:45:43:629		-141.49113	 	  	33130.63629	 		56.26569	 		232.15363	 	 	 	5.32902	 	 	 	
2009:01:20:01:45:43:660		-62.15323	 	  	22638.77946	 		56.94927	 		311.26474	 	 	 	7.44704	 	 	 	
2009:01:20:01:45:43:879		-141.06335	 	  	33251.08443	 		56.34602	 		234.11388	 	 	 	5.34482	 	 	 	
2009:01:20:01:45:43:910		-54.71926	 	  	25684.07776	 		56.97244	 		311.72363	 	 	 	8.43851	 	 	 	
2009:01:20:01:45:44:129		-140.73643	 	  	40161.45847	 		56.63028	 		252.03490	 	 	 	5.44062	 	 	 	
2009:01:20:01:45:44:160		-53.57292	 	  	26846.38440	 		56.99460	 		361.79438	 	 	 	8.75577	 	 	 	
