Time:                        Temperature (C):   Altitude (m):       
2014:01:14:01:04:11:294		-114.12483	 	  	205.88974	 		
2014:01:14:01:04:11:544		-112.15595	 	  	694.79440	 		
2014:01:14:01:04:11:794		-111.64801	 	  	1765.32242	 		
2014:01:14:01:04:12:044		-111.13241	 	  	1990.95435	 		
2014:01:14:01:04:12:295		-110.24864	 	  	3114.83968	 		
2014:01:14:01:04:12:545		-109.96556	 	  	3354.24310	 		
2014:01:14:01:04:12:795		-107.41778	 	  	3438.25355	 		
2014:01:14:01:04:13:046		-104.75765	 	  	3984.93142	 		
2014:01:14:01:04:13:297		-101.49395	 	  	4181.79426	 		
2014:01:14:01:04:13:548		-101.24813	 	  	4274.20387	 		
2014:01:14:01:04:13:798		-99.43021	 	  	4707.08035	 		
2014:01:14:01:04:14:048		-98.25253	 	  	5060.42131	 		
2014:01:14:01:04:14:298		-93.5263	 	  	5189.59994	 		
2014:01:14:01:04:14:548		-93.36643	 	  	6267.16540	 		
2014:01:14:01:04:14:798		-92.99585	 	  	6500.49377	 		
2014:01:14:01:04:15:049		-90.32407	 	  	6628.95429	 		
2014:01:14:01:04:15:299		-90.27194	 	  	6906.99949	 		
2014:01:14:01:04:15:549		-89.10333	 	  	7167.47179	 		
2014:01:14:01:04:15:799		-87.65629	 	  	7207.71850	 		
2014:01:14:01:04:16:049		-87.51116	 	  	7387.79653	 		
2014:01:14:01:04:16:299		-86.50632	 	  	7874.85814	 		
2014:01:14:01:04:16:550		-86.42935	 	  	8279.44319	 		
2014:01:14:01:04:16:800		-85.41023	 	  	8308.86499	 		
2014:01:14:01:04:17:051		-85.17425	 	  	8995.73796	 		
2014:01:14:01:04:17:301		-85.12897	 	  	9195.53361	 		
2014:01:14:01:04:17:551		-84.48895	 	  	9279.00147	 		
2014:01:14:01:04:17:801		-82.43373	 	  	9835.99789	 		
2014:01:14:01:04:18:052		-80.27399	 	  	9996.45289	 		
2014:01:14:01:04:18:302		-80.22134	 	  	10007.65182	 		
2014:01:14:01:04:18:552		-78.36369	 	  	10667.88670	 		
2014:01:14:01:04:18:803		-76.72916	 	  	10822.06837	 		
2014:01:14:01:04:19:053		-76.36618	 	  	11301.30971	 		
2014:01:14:01:04:19:303		-74.98421	 	  	11351.48637	 		
2014:01:14:01:04:19:553		-73.74027	 	  	11505.85164	 		
2014:01:14:01:04:19:803		-69.44933	 	  	11565.85202	 		
2014:01:14:01:04:20:053		-69.34211	 	  	11857.12593	 		
2014:01:14:01:04:20:303		-69.3018	 	  	12061.41903	 		
2014:01:14:01:04:20:554		-68.53807	 	  	12860.05904	 		
2014:01:14:01:04:20:804		-68.37802	 	  	12925.06345	 		
2014:01:14:01:04:21:054		-68.29705	 	  	13552.39395	 		
2014:01:14:01:04:21:304		-67.62879	 	  	13987.54011	 		
2014:01:14:01:04:21:554		-64.06883	 	  	14150.58468	 		
2014:01:14:01:04:21:805		-63.89394	 	  	14657.95196	 		
2014:01:14:01:04:22:055		-63.73206	 	  	14819.61924	 		
2014:01:14:01:04:22:305		-60.44342	 	  	15252.34514	 		
2014:01:14:01:04:22:555		-60.0293	 	  	15634.26878	 		
2014:01:14:01:04:22:805		-53.46817	 	  	15658.85392	 		
2014:01:14:01:04:23:055		-53.30668	 	  	16018.43206	 		
2014:01:14:01:04:23:305		-52.67792	 	  	16409.39138	 		
2014:01:14:01:04:23:555		-51.87022	 	  	16661.07298	 		
2014:01:14:01:04:23:805		-51.47451	 	  	16747.91515	 		
2014:01:14:01:04:24:055		-50.32768	 	  	16925.17043	 		
2014:01:14:01:04:24:305		-48.54621	 	  	17063.15864	 		
2014:01:14:01:04:24:556		-46.90773	 	  	17098.59932	 		
2014:01:14:01:04:24:807		-46.79571	 	  	18538.49650	 		
