Time:                        Temperature (C):   Altitude (m):       Pressure (psi):     
2014:01:14:01:04:11:294		-114.12483	 	  	205.88974	 		50.02075	 		
2014:01:14:01:04:11:544		-112.15595	 	  	694.79440	 		50.14359	 		
2014:01:14:01:04:11:794		-111.64801	 	  	1765.32242	 		50.31793	 		
2014:01:14:01:04:12:044		-111.13241	 	  	1990.95435	 		50.71190	 		
2014:01:14:01:04:12:295		-110.24864	 	  	3114.83968	 		50.82830	 		
2014:01:14:01:04:12:545		-109.96556	 	  	3354.24310	 		51.23815	 		
2014:01:14:01:04:12:795		-107.41778	 	  	3438.25355	 		51.28196	 		
2014:01:14:01:04:13:046		-104.75765	 	  	3984.93142	 		51.39750	 		
2014:01:14:01:04:13:297		-101.49395	 	  	4181.79426	 		51.56296	 		
2014:01:14:01:04:13:548		-101.24813	 	  	4274.20387	 		51.68162*	 		
2014:01:14:01:04:13:798		-99.43021	 	  	4707.08035	 		51.80027	 		
2014:01:14:01:04:14:048		-98.25253	 	  	5060.42131	 		51.88341	 		
2014:01:14:01:04:14:298		-93.5263	 	  	5189.59994	 		52.14865	 		
2014:01:14:01:04:14:548		-93.36643	 	  	6267.16540	 		52.72670*	 		
2014:01:14:01:04:14:798		-92.99585	 	  	6500.49377	 		53.30475	 		
2014:01:14:01:04:15:049		-90.32407	 	  	6628.95429	 		53.40430	 		
2014:01:14:01:04:15:299		-90.27194	 	  	6906.99949	 		53.59414	 		
2014:01:14:01:04:15:549		-89.10333	 	  	7167.47179	 		53.75891	 		
2014:01:14:01:04:15:799		-87.65629	 	  	7207.71850	 		54.05207	 		
2014:01:14:01:04:16:049		-87.51116	 	  	7387.79653	 		54.38494	 		
2014:01:14:01:04:16:299		-86.50632	 	  	7874.85814	 		54.47853	 		
2014:01:14:01:04:16:550		-86.42935	 	  	8279.44319	 		54.92864	 		
2014:01:14:01:04:16:800		-85.41023	 	  	8308.86499	 		54.98360	 		
2014:01:14:01:04:17:051		-85.17425	 	  	8995.73796	 		55.72283	 		
2014:01:14:01:04:17:301		-85.12897	 	  	9195.53361	 		55.95592	 		
2014:01:14:01:04:17:551		-84.48895	 	  	9279.00147	 		56.20029	 		
2014:01:14:01:04:17:801		-82.43373	 	  	9835.99789	 		56.46316	 		
2014:01:14:01:04:18:052		-80.27399	 	  	9996.45289	 		56.67214	 		
2014:01:14:01:04:18:302		-80.22134	 	  	10007.65182	 		57.17712	 		
2014:01:14:01:04:18:552		-78.36369	 	  	10667.88670	 		57.58927	 		
2014:01:14:01:04:18:803		-76.72916	 	  	10822.06837	 		57.77977	 		
2014:01:14:01:04:19:053		-76.36618	 	  	11301.30971	 		57.87549	 		
2014:01:14:01:04:19:303		-74.98421	 	  	11351.48637	 		58.67585	 		
2014:01:14:01:04:19:553		-73.74027	 	  	11505.85164	 		58.80312	 		
2014:01:14:01:04:19:803		-69.44933	 	  	11565.85202	 		58.86358*	 		
2014:01:14:01:04:20:053		-69.34211	 	  	11857.12593	 		58.92404	 		
2014:01:14:01:04:20:303		-69.3018	 	  	12061.41903	 		59.18026	 		
2014:01:14:01:04:20:554		-68.53807	 	  	12860.05904	 		59.50269	 		
2014:01:14:01:04:20:804		-68.37802	 	  	12925.06345	 		59.65826*	 		
2014:01:14:01:04:21:054		-68.29705	 	  	13552.39395	 		59.81382	 		
2014:01:14:01:04:21:304		-67.62879	 	  	13987.54011	 		59.88974	 		
2014:01:14:01:04:21:554		-64.06883	 	  	14150.58468	 		60.37993	 		
2014:01:14:01:04:21:805		-63.89394	 	  	14657.95196	 		60.86608*	 		
2014:01:14:01:04:22:055		-63.73206	 	  	14819.61924	 		61.35223	 		
2014:01:14:01:04:22:305		-60.44342	 	  	15252.34514	 		61.37472	 		
2014:01:14:01:04:22:555		-60.0293	 	  	15634.26878	 		61.65362	 		
2014:01:14:01:04:22:805		-53.46817	 	  	15658.85392	 		62.20168	 		
2014:01:14:01:04:23:055		-53.30668	 	  	16018.43206	 		62.28256	 		
2014:01:14:01:04:23:305		-52.67792	 	  	16409.39138	 		62.73000*	 		
2014:01:14:01:04:23:555		-51.87022	 	  	16661.07298	 		63.17744*	 		
2014:01:14:01:04:23:805		-51.47451	 	  	16747.91515	 		63.62487	 		
2014:01:14:01:04:24:055		-50.32768	 	  	16925.17043	 		64.36525	 		
2014:01:14:01:04:24:305		-48.54621	 	  	17063.15864	 		64.40056	 		
2014:01:14:01:04:24:556		-46.90773	 	  	17098.59932	 		64.40401	 		
2014:01:14:01:04:24:807		-46.79571	 	  	18538.49650	 		64.60122	 		
2014:01:14:01:04:25:057		-45.05541	 	  	18629.37833	 		65.36849*	 		
2014:01:14:01:04:25:308		-43.08362	 	  	19351.09917	 		66.13575	 		
2014:01:14:01:04:25:558		-42.34696	 	  	19386.62505	 		66.69061	 		
2014:01:14:01:04:25:808		-40.03505	 	  	19425.00446	 		66.86700	 		
2014:01:14:01:04:26:059		-39.29211	 	  	20206.26865	 		67.87370	 		
2014:01:14:01:04:26:309		-37.3093	 	  	20352.92518	 		68.33342	 		
2014:01:14:01:04:26:559		-34.45076	 	  	20370.69451	 		68.74116	 		
2014:01:14:01:04:26:809		-34.15456	 	  	20405.81844	 		69.48882	 		
2014:01:14:01:04:27:059		-30.51542	 	  	20573.42690	 		69.66595	 		
2014:01:14:01:04:27:309		-29.58453	 	  	20582.27329	 		69.73458	 		
2014:01:14:01:04:27:560		-28.25729	 	  	20605.80264	 		70.35280	 		
2014:01:14:01:04:27:810		-27.98389	 	  	21547.48652	 		70.88406	 		
2014:01:14:01:04:28:060		-27.2805	 	  	21820.48077	 		71.13435	 		
2014:01:14:01:04:28:310		-27.05186	 	  	22123.76482	 		71.23556	 		
2014:01:14:01:04:28:560		-24.86811	 	  	22203.42523	 		71.75847*	 		
2014:01:14:01:04:28:810		-24.16556	 	  	22562.13646	 		72.28139	 		
2014:01:14:01:04:29:060		-21.15709	 	  	22969.81399	 		72.36851	 		
2014:01:14:01:04:29:310		-21.10606	 	  	22981.36882	 		72.43834	 		
2014:01:14:01:04:29:560		-20.37492	 	  	23455.34188	 		72.87315	 		
2014:01:14:01:04:29:811		-17.83687	 	  	23906.37760	 		73.05554*	 		
2014:01:14:01:04:30:061		-17.45654	 	  	24046.83658	 		73.23793	 		
2014:01:14:01:04:30:311		-16.54613	 	  	24056.77286	 		73.46608	 		
2014:01:14:01:04:30:561		-13.41628	 	  	24108.55954	 		73.52274	 		
2014:01:14:01:04:30:812		-13.28222	 	  	24332.21504	 		73.72861	 		
2014:01:14:01:04:31:062		-11.43866	 	  	24349.10659	 		74.02909	 		
2014:01:14:01:04:31:312		-9.21928	 	  	24569.62828	 		74.04546	 		
2014:01:14:01:04:31:562		-8.39873	 	  	24601.47834	 		74.35349	 		
2014:01:14:01:04:31:812		-8.21534	 	  	24919.04350	 		75.00562	 		
2014:01:14:01:04:32:062		-7.02845	 	  	25175.50409	 		75.16140*	 		
2014:01:14:01:04:32:313		-5.76149	 	  	25186.94574	 		75.31717	 		
2014:01:14:01:04:32:563		-5.17614	 	  	25773.29125	 		75.45234	 		
2014:01:14:01:04:32:813		-4.11294	 	  	25854.61851	 		75.45244	 		
2014:01:14:01:04:33:064		0.79717	 	  	25889.70168	 		75.52943	 		
2014:01:14:01:04:33:314		1.38579	 	  	26926.91374	 		76.08575*	 		
2014:01:14:01:04:33:564		2.99585	 	  	27185.36620	 		76.64207	 		
2014:01:14:01:04:33:815		4.96832	 	  	27584.32538	 		76.66965	 		
2014:01:14:01:04:34:065		5.3894	 	  	27638.27338	 		76.76768	 		
2014:01:14:01:04:34:315		6.28644	 	  	28354.51953	 		76.98630	 		
2014:01:14:01:04:34:565		8.77747	 	  	28938.30852	 		77.52150	 		
2014:01:14:01:04:34:815		9.16028	 	  	29497.44035	 		77.64513	 		
2014:01:14:01:04:35:065		10.25116	 	  	29559.56542	 		77.66271	 		
2014:01:14:01:04:35:315		15.37233	 	  	29753.51699	 		77.71095	 		
2014:01:14:01:04:35:565		16.40046	 	  	29866.66932	 		78.49934	 		
2014:01:14:01:04:35:815		21.2785	 	  	29978.14068	 		79.13014	 		
2014:01:14:01:04:36:065		23.50627	 	  	30410.22909	 		79.72476	 		
